Une dépense fiscale dont la fin du fait générateur est antérieure à l'année du projet de loi de finances est sur une ligne grisée,;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;$@Entete
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60105.0;Exonération en faveur des zones humides;;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110102.0;Demi-part supplémentaire pour les contribuables vivant seuls ayant eu à titre exclusif ou principal, en vivant seuls, la charge d'enfants pendant au moins cinq ans;Finalité : Aider les personnes vivant seules et ayant eu des enfants à charge;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320146.0;Réduction d’impôt sur les sociétés à raison des investissements productifs neufs et des investissements dans le secteur du logement intermédiaire et social réalisés dans les collectivités d’outre-mer et en Nouvelle-Calédonie;Finalité : Aider le développement économique des collectivités d'Outre-mer et de la Nouvelle-Calédonie;;;;;;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140101.0;Exonération des intérêts et primes versés dans le cadre de l'épargne logement;Finalité : Orienter l'épargne vers l'immobilier;;;;;;
Impôt sur le revenu;Bénéfices industriels et commerciaux;Dispositions diverses;180309.0;Imputation sur le revenu global des déficits commerciaux supportés par les loueurs en meublé qui réalisent un montant de recettes annuelles excédant 23 000 € et le montant de leurs autres revenus d'activité;Finalité : Aider le secteur immobilier;;;;;;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Abattements;100202.0;Abattement en faveur des contribuables ayant des enfants mariés ou chargés de famille rattachés à leur foyer fiscal;Finalité : Aider les personnes ayant des enfants mariés à charge;;;;;;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40112.0;Exonération en faveur des établissements dans une zone de développement prioritaire (ZDP) pouvant bénéficier de l’exonération de CFE;;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210316.0;Crédit d'impôt en faveur des entreprises agricoles utilisant le mode de production biologique;Finalité : Aider le secteur agricole biologique;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120134.0;Exonération de l'aide financière versée par l'employeur ou par le comité d'entreprise en faveur des salariés afin de financer des services à la personne;Finalité : Développer les emplois de service à la personne;;;;;;
Impôt sur le revenu;Bénéfices non commerciaux;Exonérations;160204.0;Exonération d'impôt sur le revenu, à hauteur de 60 jours par an, de la rémunération perçue au titre de la permanence des soins par les médecins ou leurs remplaçants installés dans certaines zones rurales ou urbaines;Finalité : Réduire les zones à faible densité médicale;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320144.0;Crédit d'impôt pour dépenses de création audiovisuelle et cinématographique, redevances versées aux organismes de gestion collective et rémunérations versées directement aux auteurs;Finalité : Aider le secteur audiovisuel;;;;;;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90112.0;Exonération de la cotisation minimum de CFE des redevables réalisant un très faible chiffre d'affaires;Finalité : Aider les entreprises;;;;;;
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;70201.0;Dégrèvement d'office en faveur des gestionnaires de foyers et des organismes sans but lucratif agréés pour les logements loués à des personnes défavorisées;Finalité : Aider le secteur immobilier social;;;;;;
Autres droits;Composantes de la taxe générale sur les activités polluantes;Exonérations;990301.0;Exonération des réceptions de déchets non dangereux par les installations de co-incinération;Finalité : Soutien aux procédés de productions recourant à la co-incinération;;;;;;
Accise sur les énergies;Électricité;Tarifs réduits;820201.0;Tarifs réduits pour l'électricité consommée par les installations industrielles exploitées par des entreprises electro-intensives relevant de secteurs fortement exposés à la concurrence internationale (niveau d'électro-intensité au moins égal à 0,5 %);Finalité : Aider les entreprises grandes consommatrices d'énergie;;;;;;
